Prabal Docket ID,Source Docket ID,LC ID,Customer,Bandwidth,WAN IP,Circle,A-SSA,A-Exchange,A-Address,B-SSA,B-Exchange,B-Address,OpenTime,CloseTime,DownTime,Team,Priority,Status,RFP,RFO,Service Type,Booked in,Resolution_Days
MWUE250500013,MPLS2025050100243,1000199662.0,DIRECTOR PMU DEPARTMENT OFPOST,2 Mbps,10.16.114.130,UE,RBL,RBLSLN,(UPDS_EAST-0278 & CLASS C &WEG24258)SALON S O--229127SALONRAEBARELIRAEBARELI,,,,2025-05-01 08:54:30,2025-05-02 11:25:13,1days 02h:30m,SUL BA ADMIN TEAM,C,RFO PENDING,Reason not updated,,MPLS VPN LC,WC,1.1046643518518517
MAUE250500007,INC000022544622,1000611761.0,BANK OF INDIABOI,2 Mbps,10.22.127.194,UE,RBL,RBLBCN,BOI BACHHRAWAN BRNR PATEL NAGAR COLONY GATENH 24 PRAYAGRAJ RD BACHHRAWANBACHHRAWANRAEBARELI,,,,2025-05-01 02:25:49,2025-05-01 11:44:49,0days 09h:19m,RBL LLM GE,C,RFO PENDING,Reason not updated,,MPLS VPN LC,BOI-API,0.38819444444444445
MWUE250410053,MPLS2025043003075,1000590748.0,BANK OF BARODA,2 Mbps,,UE,RBL,RBLHRC,BANK OF BARODARAILWAY STATION Harchandpur ROADNEAR BLOCK OFFICEUTTAR PRADESHRAIBAREILLY,,,,2025-04-30 16:55:37,2025-05-02 11:25:15,1days 18h:29m,RBL LLM GE,C,RFO PENDING,Reason not updated,,MPLS VPN LC,WC,1.7705787037037037
MWUE250410036,MPLS2025043002754,1000127500.0,BARODA UTTAR PRADESH GRAMIN BANKCARE OF BANK OF BARODA RRB,2 Mbps,10.100.78.226,UE,RBL,RBLSKJ,Baroda Uttar pradesh GraminBank C o Bank of BarodaShankarganj229309RAIBAREILLY,,,,2025-04-30 16:03:09,2025-05-02 11:25:13,1days 19h:22m,SUL BA ADMIN TEAM,C,RFO PENDING,Reason not updated,,MPLS VPN LC,WC,1.8069907407407408
MWUE250409963,MPLS2025043002554,1000127354.0,BARODA UTTAR PRADESH GRAMIN BANKCARE OF BANK OF BARODA RRB,2 Mbps,192.168.99.186,UE,RBL,RBLRBL,Bank of Baroda Makhija MarketStation RoadRaebareli1RAIBAREILLY,,,,2025-04-30 15:58:42,2025-05-01 16:24:25,1days 00h:25m,RBL LLM PHONES,C,RFO PENDING,Reason not updated,,MPLS VPN LC,WC,1.0178587962962964
MWUE250409959,MPLS2025043002550,1000127390.0,BARODA UTTAR PRADESH GRAMIN BANKCARE OF BANK OF BARODA RRB,2 Mbps,10.100.76.210,UE,RBL,RBLMGJ,Baroda Uttar pradesh GraminBank C o Bank of BarodaMajourganj229128RAIBAREILLY,,,,2025-04-30 15:58:39,2025-05-02 11:25:13,1days 19h:26m,SUL BA ADMIN TEAM,C,RFO PENDING,Reason not updated,,MPLS VPN LC,WC,1.8101157407407407
MWUE250409957,MPLS2025043002548,1000127584.0,BARODA UTTAR PRADESH GRAMIN BANKCARE OF BANK OF BARODA RRB,2 Mbps,10.100.76.150,UE,RBL,RBLJAG,Baroda Uttar pradesh GraminBank C o Bank of BarodaLaxmanpur PO Jagatpur229402RAIBAREILLY,,,,2025-04-30 15:58:38,2025-05-02 11:25:15,1days 19h:26m,RBL SSA LLM SALON,C,RFO PENDING,Reason not updated,,MPLS VPN LC,WC,1.810150462962963
MWUE250409958,MPLS2025043002549,1000127222.0,BARODA UTTAR PRADESH GRAMIN BANKCARE OF BANK OF BARODA RRB,2 Mbps,10.100.76.26,UE,RBL,RBLRBL,Baroda Uttar pradesh GraminBank C o Bank of BarodaKhagipur Sandwa229125RAIBAREILLY,,,,2025-04-30 15:58:38,2025-05-02 11:25:15,1days 19h:26m,RBL LLM PHONES,C,RFO PENDING,Reason not updated,,MPLS VPN LC,WC,1.810150462962963
MWUE250409956,MPLS2025043002547,1000127450.0,BARODA UTTAR PRADESH GRAMIN BANKCARE OF BANK OF BARODA RRB,2 Mbps,10.100.77.114,UE,RBL,RBLNST,Baroda Uttar pradesh GraminBank C o Bank of BarodaNihastha229208RAIBAREILLY,,,,2025-04-30 15:58:37,2025-05-02 11:25:15,1days 19h:26m,RBL LLM LALGANJ,C,RFO PENDING,Reason not updated,,MPLS VPN LC,WC,1.810162037037037
MWUE250409954,MPLS2025043002545,1000127582.0,BARODA UTTAR PRADESH GRAMIN BANKCARE OF BANK OF BARODA RRB,2 Mbps,10.100.73.178,UE,RBL,RBLDAU,Baroda Uttar pradesh GraminBank C o Bank of BarodaDalmau229203RAIBAREILLY,,,,2025-04-30 15:58:36,2025-05-02 11:25:15,1days 19h:26m,RBL LLM LALGANJ,C,RFO PENDING,Reason not updated,,MPLS VPN LC,WC,1.810173611111111
MWUE250409955,MPLS2025043002546,1000127493.0,BARODA UTTAR PRADESH GRAMIN BANKCARE OF BANK OF BARODA RRB,2 Mbps,10.100.77.206,UE,RBL,RBLRHW,Baroda Uttar pradesh GraminBank C o Bank of BarodaRahawan229303RAIBAREILLY,,,,2025-04-30 15:58:36,2025-05-02 11:25:15,1days 19h:26m,RBL LLM GE,C,RFO PENDING,Reason not updated,,MPLS VPN LC,WC,1.810173611111111
MWUE250409953,MPLS2025043002526,1000127383.0,BARODA UTTAR PRADESH GRAMIN BANKCARE OF BANK OF BARODA RRB,64 Kbps,10.100.75.46,UE,RBL,RBLHDI,Baroda Uttar pradesh GraminBank C o Bank of BarodaHardoi229123RAIBAREILLY,,,,2025-04-30 15:58:25,2025-05-02 11:25:13,1days 19h:26m,SUL BA ADMIN TEAM,C,RFO PENDING,Reason not updated,,MPLS VPN LC,WC,1.8102777777777779
MWUE250409952,MPLS2025043002525,1000265586.0,BARODA UTTAR PRADESH GRAMIN BANKCARE OF BANK OF BARODA RRB,64 Kbps,10.100.77.126,UE,RBL,RBLRBL,Baroda Uttarpradesh Gramin Bank C o Bank of Baroda Paho 229209RAIBAREILLY,,,,2025-04-30 15:58:24,2025-05-02 11:25:15,1days 19h:26m,RBL LLM PHONES,C,RFO PENDING,Reason not updated,,MPLS VPN LC,WC,1.8103125
