Prabal Plus Resolved Tickets - 16-06-2025 17:26:23 ( From  01-05-2025  To  31-05-2025),,,,,,,,,,,,,,,,,,,,,,
Prabal Docket ID,Source Docket ID,LC ID,Customer,Bandwidth,WAN IP,Circle,A-SSA,A-Exchange,A-Address,B-SSA,B-Exchange,B-Address,OpenTime,CloseTime,DownTime,Team,Priority,Status,RFP,RFO,Service Type,Booked in
MAUE250511580,609227,1000442428,UCO BANKCBS PROJECT IT,2 Mbps,10.241.34.150,UE,RBL,RBLSLN,SALON BRANCHSOL ID 3044POST SALONDISTT RAEBARELIRAEBARELI,,,,2025-05-30 11:40:11,2025-05-30 15:53:49,0days 04h:13m,SUL BA ADMIN TEAM,C,RFO PENDING,Reason not updated,NA,MPLS VPN LC,UCO-API
MAUE250511579,609158,1000536420,UCO BANK CBS PROJECT IT,2 Mbps,10.241.34.118,UE,RBL,RBLRBL,KISHUNPUR RAMCHANDRA BRANCHSOL ID 2960TRIPULA CROSSINGLUCKNOW ROADRAEBARELI,,,,2025-05-30 11:33:07,2025-05-31 11:09:02,0days 23h:35m,RBL LLM PHONES,C,RFO PENDING,Reason not updated,NA,MPLS VPN LC,UCO-API
MAUE250511575,609120,1000171182,UCOBANK,2 Mbps,10.241.34.106,UE,RBL,RBLPSD,Prashadepur C/o Sharda Devi House no 182 ward no 7 JillaBazar Tehsil Salone Distt AmethiRAEBARELI,,,,2025-05-30 11:28:57,2025-05-30 19:37:24,0days 08h:08m,RBL SSA LLM SALON,C,RFO PENDING,Reason not updated,NA,MPLS VPN LC,UCO-API
MWUE250511567,MPLS2025053000478,1000228923,INDIAN OIL CORPORATIONLIMITED,4 Mbps,172.31.143.238,UE,RBL,RBLFRG,INDAIN OIL CORPORATION LTD.MARKETING DIVISIONFURSATGANJAFS IGRUA AIRFIELD.RAEBARELI,,,,2025-05-30 11:09:28,2025-05-31 11:32:14,1days 00h:22m,RBL LLM JAIS,C,RFO PENDING,Reason not updated,NA,MPLS VPN LC,WC
MWUE250511508,MPLS2025053000229,1000199662,DIRECTOR PMU DEPARTMENT OFPOST,2 Mbps,10.16.114.130,UE,RBL,RBLSLN,(UPDS_EAST-0278 & CLASS C &WEG24258)SALON S O--229127SALONRAEBARELIRAEBARELI,,,,2025-05-30 10:58:59,2025-05-31 11:32:05,1days 00h:33m,SUL BA ADMIN TEAM,C,RFO PENDING,Reason not updated,NA,MPLS VPN LC,WC
MAUE250511500,209956,1000245802,LIC OF INDIA,2 Mbps,10.249.4.222,UE,RBL,RBLBCH,SO 21UT001 BACHHARANWA NR CENTRAL BANK LUCKNOW RD BACHHRAWAN 535RAIBAREILLY,,,,2025-05-30 10:49:33,2025-05-30 12:33:59,0days 01h:44m,SUL BA ADMIN TEAM,C,RFO PENDING,Reason not updated,NA,MPLS VPN LC,LIC-API
MSUE250511427,INC000047098348,1000065349,STATE BANK OF INDIA.,8 Mbps,10.126.45.154,UE,RBL,RBLRBL,State Bank of India PB Raibareily Branch (161) EcAt Feroj Gandhi P G College(522#/00762/17/535#)RAIBAREILLY,,,,2025-05-29 17:45:43,2025-05-30 11:12:25,0days 17h:26m,RBL LLM PHONES,C,CLOSED,Reason not updated,NA,MPLS VPN LC,SBI-API
MWUE250511380,MPLS2025052902642,1000358815,ALLAHABAD BANKWAN PROJECT,2 Mbps,10.225.12.238,UE,RBL,RBLTLI,MOHANGANJ  BRANCHBRANCH CODE 212090 AMETHIRAEBARELI,,,,2025-05-29 16:39:59,2025-05-30 11:59:40,0days 19h:19m,RBL LLM JAIS,C,RFO PENDING,Reason not updated,NA,MPLS VPN LC,WC
MWUE250511318,MPLS2025052902218,1000025753,VIJAYA BANKNOW BOB,2 Mbps,10.201.12.158,UE,RBL,RBLGDJ,VIJAYA BANK 7116 (DATA-11416) RAEBARELI BRANCH 1ST FLOOR.SUPER..MARKET..FIROZ..GANDHI..RAEBARELI,,,,2025-05-29 16:37:48,2025-05-30 11:59:40,0days 19h:21m,RBL LLM LALGANJ,C,RFO PENDING,Reason not updated,NA,MPLS VPN LC,WC
MWUE250511279,MPLS2025052901579,1000211386,NATIONAL THERMAL POWERCORPORATION,68 Mbps,172.27.96.174,UE,RBL,RBLUCH,NTPC UNCHAHAR PO UNCHAHAR RAIBAREILLY229406.RAEBARELI,,,,2025-05-29 16:35:06,2025-05-30 11:59:40,0days 19h:24m,RBL SSA LLM SALON,B,RFO PENDING,Reason not updated,NA,MPLS VPN LC,WC
MWUE250511278,MPLS2025052901577,1000296451,MANAGERPUNJAB NATIONAL BANK,2 Mbps,10.110.81.154,UE,RBL,RBLMHJ,PUNJAB NATIONAL BANK ATHRETA Maharajganj RBL,,,,2025-05-29 16:35:05,2025-05-30 11:59:40,0days 19h:24m,RBL LLM GE,C,RFO PENDING,Reason not updated,NA,MPLS VPN LC,WC
MAUE250511197,209679,1000501683,LIC OF INDIA LIC,2 Mbps,10.249.24.114,UE,RBL,RBLJAS,LIC OF INDIA SO 229T002 SO 229T002 JAIS SRI RAM NARAYANYA S O SRI RAJA RAM MAURYAJAIS AMETHI UTTARPRADESH229304RAIBAREILLY,,,,2025-05-29 15:58:17,2025-05-30 16:08:08,1days 00h:09m,RBL LLM JAIS,C,RFO PENDING,Reason not updated,NA,MPLS VPN LC,LIC-API
MSUE250511191,INC000047096859,1000065456,STATE BANK OF INDIA.,2 Mbps,10.126.47.10,UE,RBL,RBLIHN,State Bank of India InhaunaBranch (11220) P O Inhauna(522#/01944/16/535#)1RAIBAREILLY,,,,2025-05-29 15:33:40,2025-05-30 18:36:25,1days 03h:02m,SUL BA ADMIN TEAM,C,CLOSED,Reason not updated,NA,MPLS VPN LC,SBI-API
MSUE250511180,INC000047096184,1000065402,STATE BANK OF INDIA.,4 Mbps,10.126.42.134,UE,RBL,RBLJAS,State Bank of India JaisBranch (4042) P O Jais(522#/01522/16/5313)1RAIBAREILLY,,,,2025-05-29 14:29:37,2025-05-30 16:16:25,1days 01h:46m,RBL LLM JAIS,C,CLOSED,Reason not updated,NA,MPLS VPN LC,SBI-API
MSUE250511178,INC000047096171,1000282161,STATE BANK OF INDIA,2 Mbps,10.126.48.10,UE,RBL,RBLNSR,"SBI NASEERABAD BR(18417)SBI  NASEERABAD,MAU ROAD,VILL NASIRABAD-229307RAEBARELI",,,,2025-05-29 14:25:44,2025-05-30 16:16:25,1days 01h:50m,RBL LLM JAIS,C,CLOSED,Reason not updated,NA,MPLS VPN LC,SBI-API
MSUE250511179,INC000047096309,1000065459,STATE BANK OF INDIA.,2 Mbps,10.126.44.58,UE,RBL,RBLTLI,State Bank of India TiloiBranch (16862) C/o ShriRizwan Ahmed Mohanganj TiloiKalan(Point to Point Circuit   522#/0324RAIBAREILLY,,,,2025-05-29 14:25:44,2025-05-30 16:40:25,1days 02h:14m,RBL LLM JAIS,C,CLOSED,Reason not updated,NA,MPLS VPN LC,SBI-API
MSUE250511153,INC000047093290,1000535454,STATE BANK OF INDIA,4 Mbps,10.126.45.38,UE,RBL,RBLUMR,16710 SBI STATE BANK OF INDIABR CODE 16710 UMRANVILL AND PO UMRAN RALBAREILLYRAIBAREILLY RAIBAREILLYRAEBARELI UMRAN RAIBAREILLY RBL UE 22900RAIBAREILLY,,,,2025-05-29 10:13:42,2025-05-30 15:52:25,1days 05h:38m,RBL SSA LLM SALON,C,CLOSED,Reason not updated,NA,MPLS VPN LC,SBI-API
MAUE250511088,604253,1000168824,UCOBANK,2 Mbps,10.241.34.102,UE,RBL,RBLKRB,Karhiya Bazar C/o Raja C S Singh Plot no 72 KarhiyaKothi Block Salon District AmethiRAEBARELI,,,,2025-05-28 17:30:04,2025-05-30 12:55:10,1days 19h:25m,RBL SSA LLM SALON,C,RFO PENDING,Fault restored - System updation pending,NA,MPLS VPN LC,UCO-API
MWUE250511050,MPLS2025052803078,1000127493,BARODA UTTAR PRADESH GRAMIN BANKCARE OF BANK OF BARODA RRB,2 Mbps,10.100.77.206,UE,RBL,RBLRHW,Baroda Uttar pradesh GraminBank C o Bank of BarodaRahawan229303RAIBAREILLY,,,,2025-05-28 16:59:12,2025-05-28 20:28:46,0days 03h:29m,RBL LLM GE,C,RFO PENDING,Reason not updated,NA,MPLS VPN LC,WC
MAUE250511035,209310,1000245793,LIC OF INDIA,2 Mbps,10.249.5.6,UE,RBL,RBLLGJ,SO 229T001 Lalganj SATELITE OFICE GANDHI CHAURAHA LALGANJ 535#/0RAIBAREILLY,,,,2025-05-28 16:07:27,2025-05-28 17:30:50,0days 01h:23m,RBL LLM LALGANJ,C,RFO PENDING,Reason not updated,NA,MPLS VPN LC,LIC-API
MWUE250511000,MPLS2025052802738,1000127492,BARODA UTTAR PRADESH GRAMIN BANKCARE OF BANK OF BARODA RRB,2 Mbps,10.100.76.246,UE,RBL,RBLMGV,Baroda Uttar pradesh GraminBank C o Bank of Barodamaugarvi229306RAIBAREILLY,,,,2025-05-28 15:32:26,2025-05-28 20:28:46,0days 04h:56m,RBL LLM GE,C,RFO PENDING,Reason not updated,NA,MPLS VPN LC,WC
MWUE250510997,MPLS2025052802734,1000127354,BARODA UTTAR PRADESH GRAMIN BANKCARE OF BANK OF BARODA RRB,2 Mbps,192.168.99.186,UE,RBL,RBLRBL,Bank of Baroda Makhija MarketStation RoadRaebareli1RAIBAREILLY,,,,2025-05-28 15:32:25,2025-05-28 20:28:46,0days 04h:56m,RBL LLM PHONES,C,RFO PENDING,Reason not updated,NA,MPLS VPN LC,WC
MWUE250510996,MPLS2025052802718,1000127501,BARODA UTTAR PRADESH GRAMIN BANKCARE OF BANK OF BARODA RRB,2 Mbps,10.100.78.242,UE,RBL,RBLSGH,Baroda Uttar pradesh GraminBank C o Bank of BarodaShivgarh229308RAIBAREILLY,,,,2025-05-28 15:32:20,2025-05-28 20:28:45,0days 04h:56m,SUL BA ADMIN TEAM,C,RFO PENDING,Reason not updated,NA,MPLS VPN LC,WC
MWUE250510993,MPLS2025052802695,1000127451,BARODA UTTAR PRADESH GRAMIN BANKCARE OF BANK OF BARODA RRB,2 Mbps,10.100.78.98,UE,RBL,RBLRBL,Baroda Uttar pradesh GraminBank C o Bank of BarodaSahjaura229122RAIBAREILLY,,,,2025-05-28 15:32:12,2025-05-28 20:28:46,0days 04h:56m,RBL LLM PHONES,C,RFO PENDING,Reason not updated,NA,MPLS VPN LC,WC
MWUE250510976,MPLS2025052802491,1000127222,BARODA UTTAR PRADESH GRAMIN BANKCARE OF BANK OF BARODA RRB,2 Mbps,10.100.76.26,UE,RBL,RBLRBL,Baroda Uttar pradesh GraminBank C o Bank of BarodaKhagipur Sandwa229125RAIBAREILLY,,,,2025-05-28 15:29:29,2025-05-28 20:28:46,0days 04h:59m,RBL LLM PHONES,C,RFO PENDING,Reason not updated,NA,MPLS VPN LC,WC
MWUE250510975,MPLS2025052802489,1000127200,BARODA UTTAR PRADESH GRAMIN BANKCARE OF BANK OF BARODA RRB,2 Mbps,10.100.73.34,UE,RBL,RBLBGJ,Baroda Uttar pradesh GraminBank C o Bank of BarodaBabuganj229404RAIBAREILLY,,,,2025-05-28 15:29:28,2025-05-28 20:28:46,0days 04h:59m,RBL SSA LLM SALON,C,RFO PENDING,Reason not updated,NA,MPLS VPN LC,WC
MWUE250510972,MPLS2025052802481,1000127383,BARODA UTTAR PRADESH GRAMIN BANKCARE OF BANK OF BARODA RRB,64 Kbps,10.100.75.46,UE,RBL,RBLHDI,Baroda Uttar pradesh GraminBank C o Bank of BarodaHardoi229123RAIBAREILLY,,,,2025-05-28 15:29:26,2025-05-28 20:28:45,0days 04h:59m,SUL BA ADMIN TEAM,C,RFO PENDING,Reason not updated,NA,MPLS VPN LC,WC
MWUE250510973,MPLS2025052802482,1000265586,BARODA UTTAR PRADESH GRAMIN BANKCARE OF BANK OF BARODA RRB,64 Kbps,10.100.77.126,UE,RBL,RBLRBL,Baroda Uttarpradesh Gramin Bank C o Bank of Baroda Paho 229209RAIBAREILLY,,,,2025-05-28 15:29:26,2025-05-28 20:28:46,0days 04h:59m,RBL LLM PHONES,C,RFO PENDING,Reason not updated,NA,MPLS VPN LC,WC
MWUE250510974,MPLS2025052802483,1000127450,BARODA UTTAR PRADESH GRAMIN BANKCARE OF BANK OF BARODA RRB,2 Mbps,10.100.77.114,UE,RBL,RBLNST,Baroda Uttar pradesh GraminBank C o Bank of BarodaNihastha229208RAIBAREILLY,,,,2025-05-28 15:29:26,2025-05-28 20:28:46,0days 04h:59m,RBL LLM LALGANJ,C,RFO PENDING,Reason not updated,NA,MPLS VPN LC,WC
MWUE250510912,MPLS2025052802262,1000528440,Bank of Baroda BOB,2 Mbps,10.150.86.66,UE,RBL,RBLGBG,EDB 8620 SAHJAURA BRANCH SAHJAURA VILLAGE SAHJAURA DISTRICTRAEBARELI 229122 LUCKNOW UPRAEBARELI 229122 LUCKNOW UPRAIBAREILLY,,,,2025-05-28 14:59:20,2025-05-28 20:28:45,0days 05h:29m,RBL LLM GE,C,RFO PENDING,Reason not updated,NA,MPLS VPN LC,WC
MWUE250510883,MPLS2025052802068,1000100916,UNION BANK OF INDIA.,2 Mbps,10.90.60.206,UE,RBL,RBLLGJ,Near Behta chauraha LalganjDistRaibarely1RAIBAREILLY,,,,2025-05-28 14:29:39,2025-05-28 20:28:45,0days 05h:59m,RBL LLM LALGANJ,C,RFO PENDING,Reason not updated,NA,MPLS VPN LC,WC
MAUE250510850,604077,1000173198,UCOBANK,2 Mbps,10.241.34.18,UE,RBL,RBLSGH,Shivgarh Branch In front of Mahesh Vilas Palace Shivgarh..RAEBARELI,,,,2025-05-28 13:53:39,2025-05-28 14:55:53,0days 01h:02m,SUL BA ADMIN TEAM,C,RFO PENDING,Reason not updated,NA,MPLS VPN LC,UCO-API
MAUE250510844,603946,1000169779,UCOBANK,2 Mbps,10.241.34.54,UE,RBL,RBLRBL,House No-615 Ward no-19 Kanti Niwas Near IDBI BankKachehri RoadRAEBARELI,,,,2025-05-28 13:21:40,2025-05-28 13:31:24,0days 00h:09m,RBL LLM PHONES,C,RFO PENDING,Reason not updated,NA,MPLS VPN LC,UCO-API
MAUE250510781,603656,1000173197,UCOBANK,2 Mbps,10.241.34.22,UE,RBL,RBLBGJ,Babugang Branch S.N.Siksha Niketan Babuganj.RAEBARELI,,,,2025-05-28 11:56:43,2025-05-28 11:58:00,0days 00h:01m,RBL SSA LLM SALON,C,RFO PENDING,Reason not updated,NA,MPLS VPN LC,UCO-API
MSUE250510791,INC000047083722,1000535455,STATE BANK OF INDIA,4 Mbps,10.126.45.34,UE,RBL,RBLRCF,16579 SBI STATE BANK OF INDIA BR CODE 16579RAILWAY COACH FACTORY RAE BARELIKANPUR ROAD VIL PO LALGANJ RAEBARELI KANPUR ROAD VIL PO LALRAIBARAIBAREILLY,,,,2025-05-28 11:49:50,2025-05-29 10:04:25,0days 22h:14m,RBL LLM LALGANJ,C,CLOSED,Reason not updated,NA,MPLS VPN LC,SBI-API
MWUE250510675,MPLS2025052703019,1000004800,INDIAN BANK.,2 Mbps,10.166.30.30,UE,RBL,RBLRBL,M-16 Amresh Puri Colony Kanpur Road.RAIBAREILLY,,,,2025-05-27 18:58:48,2025-05-28 20:28:45,1days 01h:29m,RBL LLM PHONES,C,RFO PENDING,Reason not updated,NA,MPLS VPN LC,WC
MWUE250510626,MPLS2025052702594,1000127584,BARODA UTTAR PRADESH GRAMIN BANKCARE OF BANK OF BARODA RRB,2 Mbps,10.100.76.150,UE,RBL,RBLJAG,Baroda Uttar pradesh GraminBank C o Bank of BarodaLaxmanpur PO Jagatpur229402RAIBAREILLY,,,,2025-05-27 16:59:11,2025-05-28 20:28:45,1days 03h:29m,RBL SSA LLM SALON,C,RFO PENDING,Reason not updated,NA,MPLS VPN LC,WC
